코드,이름,투타,포지션,생년월일,키,몸무게,외국인
66306,대니돈,좌투좌타,타자,19840720,188,90,1
66309,김홍빈,우언우타,투수,19960916,182,78,0
66323,코엘로,우투우타,투수,19841123,195,115,1
66324,맥그레거,우투우타,투수,19861219,193,90,1
66354,주효상,우투좌타,타자,19971111,182,85,0
66359,유재훈,우투좌타,투수,19971218,178,78,0
66392,김종덕,우투우타,타자,19930512,172,83,0
66402,웹스터,우투우타,투수,19900210,188,86,1
66406,안주형,우투좌타,타자,19930814,176,68,0
66409,이성규,우투우타,타자,19930803,178,82,0
66423,플란데,좌투좌타,투수,19860127,189,90,1
66440,벨레스터,우투우타,투수,19860606,196,88,1
66444,이케빈,우투우타,투수,19920213,184,90,0
66446,레온,우투우타,투수,19880906,183,90,1
66451,최충연,우투우타,투수,19970305,190,85,0
66452,발디리스,우투우타,타자,19830105,185,90,1
66462,김성훈,우투좌타,타자,19931027,172,68,0
66469,황선도,우투우타,타자,19970828,184,85,0
66492,김승현,우투우타,투수,19920709,180,115,0
66493,임대한,우투좌타,투수,19930813,178,85,0
66508,나경민,좌투좌타,타자,19911212,177,80,0
66523,맥스웰,우투우타,타자,19831106,192,102,1
66565,김성재,좌투좌타,투수,19931223,182,90,0
66606,최원준,우투좌타,타자,19970323,178,85,0
66609,전상현,우투우타,투수,19960418,182,84,0
66615,류승현,우투좌타,타자,19970701,171,84,0
66628,지크,우투우타,투수,19890911,195,86,1
66643,헥터,우투우타,투수,19870126,191,93,1
66657,이진영,우투우타,타자,19970721,183,82,0
66659,정동현,좌투좌타,투수,19970320,185,101,0
66660,남재현,우투좌타,투수,19960913,182,78,0
66662,신범수,우투좌타,타자,19980125,177,83,0
66702,이동훈,좌투좌타,타자,19960724,178,72,0
66704,김태연,우투우타,타자,19970610,178,99,0
66706,장진혁,우투좌타,타자,19930930,184,83,0
66710,강상원,우투좌타,타자,19970505,172,64,0
66715,김인환,우투좌타,타자,19940128,186,88,0
66716,정경운,우투우타,타자,19930809,179,76,0
66740,로사리오,우투우타,타자,19890223,180,100,1
66741,김재영,우언우타,투수,19930722,187,84,0
66742,서캠프,좌투좌타,투수,19870716,198,100,1
66748,마에스트리,우투우타,투수,19850701,183,80,1
66749,김주현,좌투좌타,타자,19931221,188,103,0
66750,카스티요,우투우타,투수,19890219,189,111,1
66801,김찬호,우투우타,투수,19970310,179,76,0
66804,노관현,우투좌타,타자,19931018,172,75,0
66805,고메즈,우투우타,타자,19880305,188,88,1
66825,라라,좌투우타,투수,19881220,186,82,1
66833,임석진,우투우타,타자,19971010,180,98,0
66838,김동엽,우투우타,타자,19900724,186,101,0
66858,정동윤,우투좌타,투수,19971022,193,103,0
66859,김주한,우언우타,투수,19930203,184,93,0
66864,안상현,우투우타,타자,19970127,178,74,0
66917,김찬형,우투우타,타자,19971229,182,80,0
66920,최성영,좌투좌타,투수,19970428,180,85,0
66928,박준영,우투우타,타자,19970805,181,75,0
66960,정수민,우투우타,투수,19900401,188,92,0
66965,도태훈,우투좌타,타자,19930318,184,85,0
66968,이재율,좌투좌타,타자,19930502,185,75,0
66990,임서준,우투우타,투수,19930419,178,81,0
67005,홍현빈,우투좌타,타자,19970829,174,70,0
67006,안치영,우투좌타,타자,19980529,176,72,0
67008,이대은,우투좌타,투수,19890323,189,90,0
67024,모넬,우투좌타,타자,19860327,185,95,1
67025,로하스,우투양타,타자,19900524,189,102,1
67033,로치,우투우타,투수,19891214,183,88,1
67048,이정현,우투우타,투수,19971205,188,93,0
67066,이종혁,우투우타,투수,19970529,190,86,0
67116,오석주,우투우타,투수,19980414,181,74,0
67119,고우석,우투우타,투수,19980806,182,90,0
67122,김태형,좌투좌타,투수,19980917,190,98,0
67134,로니,좌투좌타,타자,19840507,190,106,1
67143,손주영,좌투좌타,투수,19981202,191,95,0
67202,박유연,우투우타,타자,19981220,177,77,0
67207,이유찬,우투우타,타자,19980805,175,68,0
67246,김명신,우투우타,투수,19931129,178,90,0
67263,최원준,우언우타,투수,19941221,182,91,0
67266,박치국,우언우타,투수,19980310,177,78,0
67304,김혜성,우투좌타,타자,19990127,179,78,0
67312,오설리반,우투우타,투수,19870901,186,110,1
67313,브리검,우투우타,투수,19880210,190,90,1
67341,이정후,우투좌타,타자,19980820,185,78,0
67360,오윤성,우투우타,투수,19981210,182,77,0
67365,양기현,우투우타,투수,19981216,182,115,0
67394,초이스,우투우타,타자,19891110,183,98,1
67421,최지광,우투우타,투수,19980313,173,85,0
67423,레나도,우투우타,투수,19890909,204,105,1
67435,페트릭,우투우타,투수,19890729,192,90,1
67443,장지훈,우투우타,투수,19970331,190,92,0
67449,김성윤,좌투좌타,타자,19990202,163,62,0
67450,러프,우투우타,타자,19860728,190,113,1
67454,나원탁,우투우타,타자,19940820,183,93,0
67467,김시현,우투우타,투수,19980926,181,89,0
67504,김민수,우투우타,타자,19980318,182,96,0
67539,나균안,우투우타,타자,19980316,185,99,0
67559,애디튼,좌투우타,투수,19871216,198,97,1
67588,윤성빈,우투우타,투수,19990226,197,90,0
67591,강동호,우투우타,투수,19940421,189,118,0
67598,번즈,우투우타,타자,19900807,188,93,1
67603,이승호,좌투좌타,투수,19990208,187,95,0
67604,강이준,우투우타,투수,19980407,190,94,0
67610,김석환,좌투좌타,타자,19990228,187,97,0
67640,유승철,우투양타,투수,19980302,184,87,0
67644,이정훈,우투좌타,타자,19941207,185,90,0
67645,팻딘,좌투좌타,투수,19890525,185,88,1
67646,박진태,우투우타,투수,19941019,180,83,0
67650,버나디나,좌투좌타,타자,19840612,188,95,0
67703,박상원,우투우타,투수,19940909,189,88,0
67737,김진영,우투우타,투수,19920416,180,89,0
67742,비야누에바,우투우타,투수,19831128,188,100,1
67748,오간도,우투우타,투수,19831005,196,91,1
67762,김성훈,우투우타,투수,19980204,186,83,0
67815,다이아몬드,좌투좌타,투수,19860730,191,93,1
67827,워스,우투우타,타자,19850930,185,88,1
67828,김성민,좌투좌타,투수,19940426,181,90,0
67840,남윤성,좌투좌타,투수,19870804,191,95,0
67845,밴와트,우투우타,투수,19860214,191,100,1
67863,이원준,우투우타,투수,19980702,190,98,0
67872,로맥,우투우타,타자,19850930,188,100,1
67893,박성한,우투좌타,타자,19980330,180,77,0
67935,스크럭스,우투우타,타자,19870923,183,98,1
67944,신진호,우투우타,타자,19911020,186,103,0
67948,맨쉽,우투우타,투수,19850116,187,95,1
67962,소이현,우투우타,투수,19990209,185,93,0
68036,최건,우투우타,투수,19990410,183,92,0
68043,김민,우투우타,투수,19990414,185,88,0
68050,강백호,우투좌타,타자,19990729,184,98,0
68067,신병률,우언우타,투수,19960130,175,83,0
68069,고명성,우투우타,타자,19990416,178,68,0
68103,가르시아,우투우타,타자,19850412,177,93,1
68119,문성주,좌투좌타,타자,19970220,175,78,0
68130,김영준,우투우타,투수,19990112,185,89,0
68135,윌슨,우투우타,투수,19890925,188,84,1
68159,성동현,우투우타,투수,19990518,189,108,0
68200,김민규,우투좌타,투수,19990507,183,90,0
68201,박성모,좌투좌타,투수,19950222,186,86,0
68205,전민재,우투우타,타자,19990630,181,73,0
68220,곽빈,우투우타,투수,19990528,187,95,0
68240,후랭코프,우투우타,투수,19880827,195,95,1
68244,파레디스,우투양타,타자,19881125,191,95,1
68245,반슬라이크,우투우타,타자,19860724,193,102,1
68249,박신지,우투우타,투수,19990716,185,75,0
68260,현도훈,우투좌타,투수,19930113,188,89,0
68330,예진원,좌투좌타,타자,19990316,172,85,0
68341,안우진,우투우타,투수,19990830,191,90,0
68345,샌즈,우투우타,타자,19870928,193,105,1
68362,추재현,좌투좌타,타자,19990222,179,89,0
68400,보니야,우투우타,투수,19900618,186,102,1
68403,김윤수,우투우타,투수,19991208,183,94,0
68407,공민규,우투좌타,타자,19990927,183,85,0
68415,양창섭,우투우타,투수,19990922,182,85,0
68419,최채흥,좌투좌타,투수,19950122,186,97,0
68435,아델만,우투우타,투수,19871113,196,102,1
68453,김용하,우언우타,투수,19990727,185,85,0
68501,최하늘,우언우타,투수,19990326,190,99,0
68518,정보근,우투우타,타자,19990831,175,88,0
68525,한동희,우투우타,타자,19990601,181,99,0
68526,듀브론트,좌투좌타,투수,19871023,188,108,1
68529,이승헌,우투우타,투수,19981219,196,97,0
68556,정성종,우투좌타,투수,19951116,180,93,0
68616,김승범,우투우타,투수,19981207,183,88,0
68639,하준영,좌투좌타,투수,19990906,182,79,0
68646,한준수,우투좌타,타자,19990213,184,95,0
68659,김유신,좌투좌타,투수,19990614,187,100,0
68701,김진욱,우투우타,투수,20000113,176,79,0
68703,박주홍,좌투좌타,투수,19990820,178,109,0
68730,호잉,우투좌타,타자,19890518,190,92,1
68742,휠러,좌투좌타,투수,19901027,198,115,1
68743,정은원,우투좌타,타자,20000117,177,78,0
68748,샘슨,우투우타,투수,19910106,188,102,1
68794,헤일,우투우타,투수,19870927,,,1
68815,산체스,우투우타,투수,19891128,185,88,1
68830,김정우,우투우타,투수,19990515,183,87,0
68848,조성훈,우투우타,투수,19990322,188,85,0
68856,최민준,우투우타,투수,19990611,178,83,0
68868,최준우,우투좌타,타자,19990325,176,78,0
68900,김영규,좌투좌타,투수,20000210,188,86,0
68901,이인혁,좌투좌타,타자,19990103,183,89,0
68904,오영수,우투좌타,타자,20000130,178,93,0
68908,김재균,좌투좌타,투수,19990117,176,83,0
68912,김형준,우투우타,타자,19991102,187,98,0
68948,왕웨이중,좌투좌타,투수,19920425,188,83,0
68953,베렛,우투우타,투수,19900619,188,86,1
69032,쿠에바스,우투양타,투수,19901014,188,98,1
69041,손동현,우투좌타,투수,20010123,183,88,0
69045,알칸타라,우투우타,투수,19921204,193,100,1
69047,전용주,좌투좌타,투수,20000212,188,87,0
69054,이상동,우투우타,투수,19951124,181,88,0
69056,박민석,우투우타,타자,20000413,180,77,0
69068,이선우,우투우타,투수,20000919,186,90,0
69100,구본혁,우투우타,타자,19970111,177,75,0
69103,켈리,우투우타,투수,19891004,191,98,1
69111,한선태,우언우타,투수,19940614,183,79,0
69150,조셉,우투우타,타자,19910716,185,115,1
69158,강정현,우투우타,투수,19950923,177,90,0
69159,정우영,우언우타,투수,19990819,193,85,0
69165,페게로,좌투좌타,타자,19870222,195,117,1
69168,이상영,좌투좌타,투수,20001203,193,88,0
69203,송승환,우투우타,타자,20001028,183,93,0
69207,김태근,우투우타,타자,19960810,175,74,0
69209,페르난데스,우투좌타,타자,19880427,178,83,1
69238,김대한,우투우타,타자,20001206,185,83,0
69306,김주형,우투우타,타자,19960305,176,80,0
69328,박주성,우투우타,투수,20001109,181,95,0
69343,요키시,좌투우타,투수,19890729,188,93,1
69360,조영건,우투우타,투수,19990204,180,85,0
69399,윤정현,좌투좌타,투수,19930517,187,110,0
69403,양우현,우투좌타,타자,20000413,175,82,0
69405,윌리엄슨,우투우타,타자,19900715,193,107,1
69413,맥과이어,우투우타,투수,19890623,198,100,1
69418,박승규,우투우타,타자,20000902,178,78,0
69435,헤일리,우투우타,투수,19910616,195,105,1
69439,라이블리,우투우타,투수,19920305,193,86,1
69442,김도환,우투우타,타자,20000414,178,90,0
69446,원태인,우투우타,투수,20000406,183,92,0
69453,이학주,우투좌타,타자,19901104,187,87,0
69508,신용수,우투우타,타자,19960105,178,78,0
69516,김현수,우투우타,투수,20000710,185,90,0
69517,고승민,우투좌타,타자,20000811,187,88,0
69530,아수아헤,우투좌타,타자,19911102,175,72,1
69539,서준원,우언우타,투수,20001105,187,95,0
69550,톰슨,우투우타,투수,19940131,193,100,1
69569,윌슨,우투우타,타자,19900729,180,93,1
69594,박진,우투우타,투수,19990402,181,99,0
69605,해즐베이커,우투좌타,타자,19870814,190,86,1
69620,김기훈,좌투좌타,투수,20000103,184,93,0
69636,오선우,좌투좌타,타자,19961213,186,95,0
69640,터너,우투우타,투수,19910521,196,97,1
69645,장지수,우투우타,투수,20000525,176,81,0
69646,양승철,우투우타,투수,19920715,193,108,0
69652,터커,좌투좌타,타자,19900706,183,95,1
69656,윌랜드,우투우타,투수,19900121,188,92,1
69727,변우혁,우투우타,타자,20000318,185,95,0
69737,노시환,우투우타,타자,20001203,185,96,0
69744,서폴드,우투우타,투수,19900116,188,101,1
69745,김이환,우투우타,투수,20000915,183,87,0
69748,채드벨,좌투우타,투수,19890228,190,90,1
69762,박윤철,우투우타,투수,19960323,186,85,0
69766,유장혁,우투우타,타자,20000530,186,86,0
69802,최경모,우투우타,타자,19960617,168,73,0
69813,하재훈,우투우타,투수,19901029,182,90,0
69825,김창평,우투좌타,타자,20000614,183,78,0
69839,백승건,좌투좌타,투수,20001029,183,85,0
69860,김성민,우투우타,타자,19930512,188,115,0
69861,다익손,우투우타,투수,19940702,205,117,1
69901,스몰린스키,우투우타,타자,19890209,180,95,1
69934,버틀러,우투우타,투수,19910313,188,95,1
69940,루친스키,우투우타,투수,19881230,188,91,1
69950,베탄코트,우투우타,타자,19910902,184,98,1
69953,프리드릭,좌투우타,투수,19870708,194,100,1
69962,송명기,우투우타,투수,20000809,191,93,0
69969,전사민,우투우타,투수,19990706,194,85,0
69974,배민서,우언우타,투수,19991118,184,81,0
70117,최경환,좌투좌타,타자,19720512,181,81,0
70121,경헌호,우투우타,투수,19770725,181,98,0
70122,최승환,우투우타,타자,19780225,186,100,0
70123,테이텀,우투우타,타자,19671009,185,88,1
70124,쿡슨,우투우타,타자,19690907,180,92,1
70135,장준관,우투우타,투수,19810414,185,87,0
70142,김광수,우투우타,투수,19810505,182,84,0
70143,해리거,우투우타,투수,19690721,180,82,1
70148,윤현식,우투우타,타자,19770403,175,71,0
70154,김성준,우투우타,투수,19790620,181,80,0
70164,박재형,우투우타,투수,19770409,183,88,0
70220,파머,좌투좌타,투수,19680703,186,91,1
70224,강봉규,우투우타,타자,19780112,183,88,0
70240,정원석,우투우타,타자,19770327,180,90,0
70249,정진용,우투우타,투수,19771201,179,85,0
70251,박찬협,우투우타,투수,19770528,179,85,0
70303,장교성,우투우타,타자,19771027,174,77,0
70309,윌리엄스,우투우타,타자,19641101,180,95,1
70310,카펜터,좌투좌타,타자,19680723,182,83,1
70312,오윤,우투우타,타자,19810908,186,98,0
70317,퀸란,우투우타,타자,19680327,184,99,1
70323,신철인,우투우타,투수,19770522,175,75,0
70329,마일영,좌투좌타,투수,19810528,177,95,0
70335,브링클리,우투우타,타자,19681223,181,93,1
70345,김성태,우투우타,투수,19820103,185,84,0
70349,박승민,우언우타,투수,19770318,186,90,0
70352,이상현,우투우타,투수,19810405,186,90,0
70356,이동학,우투우타,투수,19810506,184,92,0
70364,전근표,좌투좌타,타자,19770305,185,88,0
70408,박정환,우투우타,타자,19771023,180,88,0
70410,김주찬,우투우타,타자,19810325,183,94,0
70414,프랑코,우투우타,타자,19610823,185,95,1
70425,배영수,우투우타,투수,19810504,185,100,0
70427,남기헌,좌투좌타,타자,19770801,170,84,0
70430,박영진,우투우타,투수,19790319,180,85,0
70434,이용훈,우투우타,투수,19770714,183,83,0
70441,가르시아,우투우타,투수,19680511,186,98,1
70444,이명호,좌언좌타,투수,19810210,183,80,0
70464,구민호,우투우타,타자,19770311,183,84,0
70503,우드,좌투좌타,타자,19670104,188,86,1
70523,차정국,우투우타,타자,19760807,180,83,0
70531,강민영,우투우타,투수,19810704,182,76,0
70533,김무성,우투우타,타자,19761125,186,88,0
70542,화이트,우투우타,타자,19691012,183,101,1
70543,박창원,좌투좌타,타자,19770317,184,82,0
70546,전영삼,좌투좌타,투수,19751119,181,80,0
70553,박기혁,우투우타,타자,19810604,179,77,0
70571,박효순,우투우타,투수,19770427,188,86,0
70608,양현석,좌투좌타,타자,19771020,180,82,0
70612,김상훈,우투우타,타자,19771027,180,92,0
70615,강영식,좌투좌타,투수,19810617,189,100,0
70625,조홍준,우투우타,타자,19770427,186,96,0
70626,홍세완,우투우타,타자,19780116,183,85,0
70630,최영완,좌투좌타,투수,19760503,184,83,0
70640,포조,우투우타,타자,19730824,,,1
70641,타바레스,우투양타,타자,19710326,183,77,1
70643,배스,좌투좌타,타자,19740622,,,1
70644,미첼,우투우타,타자,19690806,178,82,1
70646,김상현,우투우타,타자,19801112,190,95,0
70649,최길성,우투우타,타자,19780206,186,95,0
70655,윤형진,우투우타,투수,19770913,183,86,0
70719,김장백,우투우타,투수,19750923,182,85,0
70723,조윤채,우투우타,타자,19770810,183,82,0
70738,이상현,우투우타,타자,19761211,183,92,0
70750,허진석,우언우타,투수,19810719,181,73,0
70754,장재혁,우투우타,투수,19760316,182,82,0
70755,조규수,우투우타,투수,19810915,183,82,0
70756,이범호,우투우타,타자,19811125,183,96,0
70766,방진호,우투우타,타자,19770727,179,78,0
70806,장재명,우투우타,타자,19720525,175,75,0
70814,신주일,우투우타,타자,19770918,177,73,0
70820,이승호,좌투좌타,투수,19810909,176,86,0
70831,뮬렌,우투우타,타자,19670623,193,96,0
70832,배홍철,우투우타,투수,19820224,182,75,0
70833,채종범,우투우타,타자,19771203,180,85,0
70834,브리또,우투우타,타자,19720528,183,82,1
70837,혼즈,우투좌타,타자,19701102,182,85,1
70839,신승현,우언우타,투수,19830813,193,102,0
70840,콜,우투우타,투수,19680123,178,84,1
70855,엄정욱,우투우타,투수,19810618,191,94,0
70865,풀리엄,우투우타,타자,19671020,180,99,1
71118,이동현,우투우타,투수,19830112,192,98,0
71120,박용진,우투좌타,투수,19820424,181,74,0
71123,발데스,좌투좌타,투수,19660711,181,85,1
71125,린튼,우투우타,투수,19650902,182,87,1
71136,박만채,우투우타,투수,19780802,184,85,0
71150,김재학,좌투좌타,타자,19780218,176,74,0
71184,이성우,우투우타,타자,19810901,180,91,0
71201,최경훈,우투우타,투수,19790122,190,100,0
71202,이대현,우투우타,타자,19820609,183,92,0
71207,김원섭,우투좌타,타자,19781218,180,82,0
71220,베넷,우투우타,투수,19720410,196,96,1
71252,윤태수,우투우타,타자,19780405,,,0
71255,김태영,우투우타,투수,19800407,181,82,0
71260,이재우,우투우타,투수,19800209,183,82,0
71261,김덕용,좌투좌타,투수,19780816,178,78,0
71263,장인규,좌투좌타,투수,19781031,180,81,0
71267,김태구,우투우타,투수,19820927,183,89,0
71299,니일,우투좌타,타자,19650914,191,98,1
71325,필립스,좌투좌타,타자,19700429,183,95,1
71339,테일러,우투우타,투수,19710125,186,90,1
71343,여승현,우투우타,투수,19820611,184,90,0
71347,장민석,좌투좌타,타자,19820509,180,73,0
71353,엔리케스,우투우타,투수,19740128,198,104,1
71412,바에르가,우투양타,타자,19681104,180,98,1
71414,리베라,우투우타,투수,19690111,201,114,1
71419,마르티네스,우투우타,타자,19701003,185,88,1
71429,이성수,좌투좌타,투수,19780308,180,80,0
71432,박한이,좌투좌타,타자,19790128,182,91,0
71433,이정호,우투우타,투수,19820427,187,98,0
71440,김덕윤,우투우타,투수,19820421,183,86,0
71441,토레스,우투우타,투수,19720311,182,82,1
71443,갈베스,우투우타,투수,19640331,180,107,1
71463,조정권,좌투좌타,타자,19760225,175,82,0
71504,신명철,우투우타,타자,19780806,181,77,0
71509,권오현,우투우타,타자,19780312,182,80,0
71536,레이,우투우타,투수,19730206,184,90,1
71543,얀,우투우타,타자,19660724,190,95,1
71550,김장현,우투우타,투수,19781016,181,87,0
71551,이대일,우투우타,투수,19800801,182,79,0
71552,최준석,우투우타,타자,19830215,187,130,0
71558,박상민,좌투좌타,타자,19780811,176,82,0
71562,박종윤,좌투좌타,타자,19820411,188,90,0
71563,김제빈,우투우타,투수,19820331,189,92,0
71564,이대호,우투우타,타자,19820621,194,130,0
71565,이우민,우투좌타,타자,19820504,182,90,0
71609,김민철,우투좌타,타자,19820314,178,76,0
71610,김경언,좌투좌타,타자,19821207,188,84,0
71636,정원,우투우타,투수,19820601,184,90,0
71638,오우진,우투우타,타자,19790130,186,102,0
71641,이윤학,좌투좌타,투수,19820225,188,94,0
71642,리치,우투우타,투수,19660125,178,80,1
71643,산토스,우투우타,타자,19661229,195,102,1
71648,심제훈,우투우타,타자,19781011,178,78,0
71649,레스,좌투좌타,투수,19730110,190,82,1
71650,권민성,우투우타,타자,19810531,184,96,0
71653,루이스,우투우타,투수,19721122,187,90,1
71661,김주철,우투우타,투수,19820505,182,80,0
71663,젠슨,우투우타,투수,19730531,190,88,1
71708,김백만,우투우타,투수,19821012,183,86,0
71713,서창호,우투우타,타자,19780603,178,75,0
71715,지승민,좌투좌타,투수,19780912,185,88,0
71719,에반스,우투우타,투수,19680101,190,95,1
71720,워렌,우투우타,투수,19670426,185,81,1
71721,차베스,우투우타,투수,19720825,184,82,1
71727,누네스,우투우타,투수,19640113,,,1
71728,리스,우투우타,투수,19751008,193,88,1
71729,윈스턴,좌투좌타,투수,19660607,183,88,1
71744,이송영,우투우타,타자,19790117,182,93,0
71745,고상천,좌투좌타,투수,19780610,185,86,0
71748,박정근,우투우타,투수,19820423,184,90,0
71752,김태균,우투우타,타자,19820529,185,110,0
71753,유영민,우투우타,투수,19820301,186,83,0
71761,김대원,우투양타,타자,19780518,178,78,0
71763,김무성,우투우타,타자,19780302,178,81,0
71765,김기동,좌투좌타,타자,19780805,,,0
71801,정대현,우언우타,투수,19781110,185,101,0
71806,김동건,우투우타,타자,19820307,178,94,0
71815,박준서,우투좌타,타자,19811211,180,80,0
71823,조형식,우투우타,투수,19820709,183,91,0
71827,오승준,우투우타,투수,19820806,190,94,0
71829,에르난데스,우투우타,투수,19710616,189,84,1
71835,조중근,좌투좌타,타자,19821220,183,98,0
71837,김강민,우투우타,타자,19820913,182,87,0
71842,정상호,우투우타,타자,19821224,187,100,0
71845,채병용,우투우타,투수,19820425,185,100,0
71848,조동화,좌투좌타,타자,19810322,175,75,0
71851,김건한,우투우타,투수,19810326,182,82,0
71857,박재상,좌투좌타,타자,19820720,178,82,0
71859,에레라,좌투좌타,타자,19720830,182,78,1
71867,김장준,우투우타,투수,19820511,179,77,0
71901,이준,좌투좌타,투수,19770717,179,82,0
72108,김우석,우투우타,타자,19750902,180,81,0
72123,만자니오,좌투좌타,투수,19631017,184,95,1
72124,케펜,우투우타,투수,19740131,192,93,1
72131,김용우,우투좌타,타자,19790912,180,83,0
72133,박용택,우투좌타,타자,19790421,185,90,0
72139,추승우,우투좌타,타자,19790924,187,74,0
72143,김광희,좌투좌타,타자,19830723,188,84,0
72154,박도현,우투우타,타자,19830412,183,105,0
72157,서승화,좌투좌타,투수,19790713,195,83,0
72160,김세중,우투우타,타자,19791020,180,84,0
72161,안치용,우투우타,타자,19790223,183,93,0
72163,김광우,좌투좌타,투수,19790912,178,80,0
72169,오태근,우투양타,타자,19780405,180,85,0
72195,이일의,좌투좌타,타자,19711130,185,85,0
72202,이민택,우투우타,타자,19800223,179,80,0
72214,고영민,우투우타,타자,19840208,182,73,0
72216,이재영,우투우타,투수,19790613,187,90,0
72220,유재웅,우투좌타,타자,19790520,183,92,0
72253,이경환,우투우타,타자,19830521,177,93,0
72261,황덕균,우투우타,투수,19830428,180,84,0
72268,김학재,우투우타,타자,19760811,173,76,0
72303,김민우,우투우타,타자,19790321,184,92,0
72312,강귀태,우투우타,타자,19790812,184,88,0
72313,조재호,좌투좌타,타자,19800110,178,84,0
72314,박우호,우투우타,타자,19780515,180,84,0
72321,배힘찬,우투우타,투수,19831208,185,91,0
72322,폴,좌투좌타,타자,19690621,185,90,1
72324,허웅,우투우타,타자,19830917,177,84,0
72325,강병식,우투좌타,타자,19770423,182,85,0
72333,이대환,우투우타,투수,19790528,186,92,0
72337,프랭클린,우투양타,타자,19720425,180,94,1
72340,최환인,우투우타,투수,19790615,182,84,0
72342,토레스,우투우타,투수,19770527,185,81,1
72350,베라스,우투우타,투수,19730313,187,80,1
72351,조용준,우투우타,투수,19790317,176,72,0
72412,엘비라,좌투좌타,투수,19671029,178,82,1
72427,현재윤,우투우타,타자,19790708,174,80,0
72428,패트릭,우투우타,투수,19700916,184,101,1
72432,박봉수,좌투좌타,타자,19770716,185,90,0
72443,최형우,우투좌타,타자,19831216,180,106,0
72447,권혁,좌투좌타,투수,19831106,192,103,0
72448,이태호,좌투좌타,타자,19830924,182,80,0
72452,이준민,우투양타,타자,19790123,176,80,0
72454,권오원,우투우타,투수,19790816,184,84,0
72456,손주인,우투우타,타자,19831201,179,82,0
72458,임세업,우투우타,타자,19830901,181,82,0
72461,노병오,우투우타,투수,19830907,180,100,0
72463,안지만,우투우타,투수,19831001,180,83,0
72466,조동찬,우투우타,타자,19830727,180,80,0
72513,매기,좌투좌타,투수,19680409,190,95,1
72522,허일상,우투우타,타자,19791221,176,88,0
72523,고효준,좌투좌타,투수,19830208,179,74,0
72535,이명우,좌투좌타,투수,19820603,185,98,0
72543,베로아,우투우타,타자,19650318,180,95,1
72546,문규현,우투우타,타자,19830705,185,92,0
72548,김정현,우투우타,타자,19790527,182,90,0
72551,이정민,우투우타,투수,19790302,182,90,0
72553,해처,우투우타,타자,19690107,185,105,1
72554,김풍철,우투우타,투수,19761020,183,84,0
72556,신원주,우투우타,투수,19761014,189,74,0
72559,신종길,우투좌타,타자,19831231,183,87,0
72562,변인재,우투우타,투수,19790611,185,93,0
72606,이현곤,우투우타,타자,19800221,183,83,0
72623,조민철,우투우타,타자,19790608,180,84,0
72627,강철민,우투우타,투수,19790722,191,93,0
72641,김진우,우투우타,투수,19830307,192,110,0
72643,문수호,좌투좌타,투수,19830604,185,85,0
72649,신용운,우언우타,투수,19830908,180,72,0
72650,펨버튼,우투우타,타자,19691217,185,86,1
72653,키퍼,우투우타,투수,19681113,192,91,1
72654,뉴선,좌투좌타,타자,19640703,170,92,1
72659,리오스,우투우타,투수,19721111,187,90,1
72720,유혜정,우투우타,투수,19820620,182,74,0
72736,가르시아,우투우타,타자,19750520,180,78,1
72739,신주영,우언우타,투수,19840215,185,86,0
72742,채상병,우투우타,타자,19791218,184,95,0
72743,정병희,우투우타,투수,19830525,178,82,0
72749,마정길,우언우타,투수,19790313,177,95,0
72752,조현수,좌투좌타,타자,19790627,180,83,0
72756,피코타,우투우타,투수,19660723,185,95,1
72765,송혁,우투좌타,타자,19790521,184,85,0
72801,제춘모,우투우타,투수,19820405,190,91,0
72813,박창근,우투우타,투수,19830225,185,85,0
72819,박두일,우투우타,타자,19830325,182,76,0
72822,서성종,우투우타,타자,19830617,182,104,0
72824,페르난데스,우투우타,타자,19741102,188,88,1
72838,러핀,우투우타,투수,19710729,192,77,1
72850,김재구,좌투좌타,타자,19780531,176,85,0
72852,윤형국,우투우타,타자,19790820,175,80,0
72859,잉글린,우투우타,타자,19751008,180,84,1
72860,이대수,우투우타,타자,19810821,175,75,0
72862,윤길현,우투우타,투수,19830923,183,85,0
72918,손용수,우투우타,투수,19790616,179,78,0
73113,박경수,우투우타,타자,19840331,178,80,0
73117,우규민,우언우타,투수,19850121,184,75,0
73123,알칸트라,우투우타,타자,19710506,190,90,1
73136,이성열,우투좌타,타자,19840713,185,102,0
73153,이대형,좌투좌타,타자,19830719,184,78,0
73156,이경민,우투우타,투수,19840731,183,78,0
73166,정재복,우투우타,투수,19810213,192,105,0
73168,김진유,좌투좌타,투수,19790701,184,86,0
73209,나주환,우투우타,타자,19840614,180,84,0
73211,노경은,우투우타,투수,19840311,186,90,0
73213,손시헌,우투우타,타자,19801019,172,73,0
73224,김만윤,우투양타,타자,19840723,184,79,0
73226,김성배,우언우타,투수,19810112,180,86,0
73228,전병두,좌투좌타,투수,19841014,181,77,0
73229,이리키,우투우타,투수,19670603,178,80,1
73231,백승훈,우투우타,타자,19800516,176,75,0
73232,정종수,우투우타,타자,19800508,,,0
73233,쿨바,우투우타,타자,19720605,185,84,1
73241,정재훈,우투우타,투수,19800101,178,83,0
73246,백대운,좌투좌타,타자,19801121,183,90,0
73248,김승회,우투우타,투수,19810211,177,85,0
73306,지석훈,우투우타,타자,19840317,181,74,0
73317,신동민,우언우타,투수,19800314,185,83,0
